subject,r_c_25%_25%,r_c_25%_75%,r_c_75%_25%,r_c_75%_75%,r_i_25%_25%,r_i_25%_75%,r_i_75%_25%,r_i_75%_75%,s_c_25%_25%,s_c_25%_75%,s_c_75%_25%,s_c_75%_75%,s_i_25%_25%,s_i_25%_75%,s_i_75%_25%,s_i_75%_75%
sub35,1,1,0.875,1,0.9375,0.9320388349514563,0.9166666666666666,1,1,0.9583333333333334,0.8932038834951457,1,0.9583333333333334,1,0.8125,0.9805825242718447
sub36,0.9902912621359223,0.9375,1,0.9583333333333334,0.6875,0.970873786407767,0.8333333333333334,0.625,1,0.875,1,0.9375,0.375,0.875,0.5,0.7766990291262136
sub37,0.9223300970873787,0.9375,1,0.9583333333333334,0.75,0.9320388349514563,0.875,0.9375,1,0.8333333333333334,0.9902912621359223,1,0.7916666666666666,0.875,0.6875,0.8349514563106796
sub38,0.9514563106796117,1,1,0.9583333333333334,1,0.970873786407767,1,0.75,1,1,0.9805825242718447,1,0.7916666666666666,0.875,0.8125,0.941747572815534
sub39,0.970873786407767,0.9375,1,1,0.8125,0.9320388349514563,0.8333333333333334,0.875,1,0.9166666666666666,0.9611650485436893,1,0.8333333333333334,0.9375,0.6875,0.8252427184466019
sub4,0.9805825242718447,1,0.9375,0.9583333333333334,0.9375,0.941747572815534,0.875,0.75,1,0.9583333333333334,0.7961165048543689,1,0.8333333333333334,0.75,0.5,0.9805825242718447
sub40,1,1,1,1,1,0.9514563106796117,1,1,1,0.9583333333333334,1,0.9375,1,1,0.9375,0.9611650485436893
sub41,0.941747572815534,1,1,0.9583333333333334,0.875,0.9320388349514563,0.8333333333333334,0.9375,1,0.9583333333333334,0.941747572815534,0.9375,0.7083333333333334,0.8125,0.875,0.883495145631068
sub42,0.941747572815534,1,1,0.9583333333333334,0.9375,0.9611650485436893,0.75,1,0.75,0.8333333333333334,0.9611650485436893,0.875,0.7916666666666666,0.75,0.6875,0.7669902912621359
sub43,0.9611650485436893,0.875,1,1,0.875,0.9223300970873787,0.6666666666666666,0.9375,1,0.9583333333333334,0.9902912621359223,0.8125,0.625,0.75,0.6875,0.8058252427184466
sub44,0.8932038834951457,0.9375,0.8125,0.7916666666666666,0.75,0.883495145631068,0.5833333333333334,0.6875,0.625,0.7916666666666666,0.7669902912621359,0.625,0.6666666666666666,0.625,0.5625,0.5922330097087378
sub45,0.9223300970873787,0.875,0.875,0.75,0.75,0.9223300970873787,0.875,0.9375,1,0.75,0.8932038834951457,0.8125,0.7083333333333334,0.875,0.5,0.7766990291262136
sub46,0.912621359223301,0.9375,1,0.9166666666666666,1,0.8932038834951457,0.8333333333333334,0.875,0.8125,0.8333333333333334,0.9611650485436893,1,0.7916666666666666,0.75,0.6875,0.8737864077669902
sub47,0.9805825242718447,1,0.9375,1,1,0.883495145631068,0.75,0.8125,0.9375,1,0.9902912621359223,1,0.7916666666666666,0.5,0.8125,0.8640776699029126
sub48,1,0.875,0.9375,0.9583333333333334,0.8125,0.9320388349514563,0.9166666666666666,0.9375,1,0.6666666666666666,0.941747572815534,0.8125,0.7916666666666666,0.6875,0.75,0.7475728155339806
sub49,1,1,1,1,0.9375,0.9902912621359223,0.9583333333333334,0.75,1,1,1,0.875,0.8333333333333334,0.9375,1,0.8446601941747572
sub5,0.970873786407767,0.9375,1,0.9166666666666666,0.75,0.9805825242718447,0.875,1,1,0.9583333333333334,0.9805825242718447,1,0.6666666666666666,1,0.875,0.9223300970873787
sub50,0.9611650485436893,1,1,0.9583333333333334,0.5625,0.7669902912621359,0.625,0.5625,1,0.8333333333333334,0.9611650485436893,1,0.5416666666666666,0.625,0.5625,0.6310679611650486
sub51,0.9902912621359223,0.9375,1,1,0.9375,0.9223300970873787,0.9166666666666666,0.875,0.9375,0.9166666666666666,0.9611650485436893,1,0.875,0.75,0.8125,0.8446601941747572
sub52,0.9514563106796117,0.75,0.9375,0.9166666666666666,0.875,0.7766990291262136,0.625,1,0.875,0.6666666666666666,0.8737864077669902,0.9375,0.875,0.75,0.4375,0.9223300970873787
sub53,0.9805825242718447,1,1,0.9166666666666666,0.9375,0.9611650485436893,0.875,1,0.9375,1,0.9902912621359223,1,0.875,0.875,0.8125,0.9611650485436893
sub54,0.9611650485436893,0.9375,0.6875,0.875,0.8125,0.8349514563106796,0.9166666666666666,0.875,1,0.7916666666666666,0.7864077669902912,0.75,0.875,0.625,0.75,0.8252427184466019
sub55,0.970873786407767,0.9375,1,1,1,0.8932038834951457,0.8333333333333334,0.6875,1,0.9166666666666666,0.883495145631068,1,0.7083333333333334,0.9375,0.8125,0.8932038834951457
sub56,0.883495145631068,1,0.9375,0.9583333333333334,0.6875,0.8640776699029126,0.8333333333333334,0.875,0.9375,0.875,0.883495145631068,0.8125,0.5833333333333334,0.625,0.625,0.7669902912621359
sub57,0.8737864077669902,1,0.875,1,0.625,0.8932038834951457,0.75,0.75,0.75,0.9583333333333334,0.9611650485436893,1,0.5833333333333334,0.875,0.6875,0.8932038834951457
sub6,0.9611650485436893,0.9375,1,1,0.875,0.9514563106796117,0.875,0.9375,0.875,0.9166666666666666,0.9805825242718447,0.9375,0.7916666666666666,0.8125,0.875,0.7961165048543689
sub7,0.8640776699029126,0.8125,0.9375,0.9166666666666666,0.4375,0.8737864077669902,0.75,0.9375,0.6875,0.75,0.8737864077669902,0.9375,0.4583333333333333,0.625,0.5625,0.7572815533980582
sub8,0.9514563106796117,0.875,0.875,0.9166666666666666,0.9375,0.912621359223301,0.625,1,0.9375,0.9583333333333334,0.883495145631068,0.875,0.9583333333333334,0.9375,0.5,0.9320388349514563
sub9,0.941747572815534,1,1,1,0.875,0.9902912621359223,0.9583333333333334,0.75,1,1,1,0.875,0.875,0.875,0.9375,0.6310679611650486
