subject,r_c_25%_25%,r_c_25%_75%,r_c_75%_25%,r_c_75%_75%,r_i_25%_25%,r_i_25%_75%,r_i_75%_25%,r_i_75%_75%,s_c_25%_25%,s_c_25%_75%,s_c_75%_25%,s_c_75%_75%,s_i_25%_25%,s_i_25%_75%,s_i_75%_25%,s_i_75%_75%
sub30,0.9166666666666666,1,1,0.75,0.8333333333333334,0.75,0.6666666666666666,0.5833333333333334,1,1,0.9166666666666666,0.6666666666666666,0.75,0.75,0.5,0.5
sub31,1,1,1,1,0.75,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,1
sub32,0.75,0.9166666666666666,1,1,0.5,1,0.8333333333333334,0.8333333333333334,0.9166666666666666,1,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.75,0.8333333333333334,0.5
sub33,0.9166666666666666,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.75,0.9166666666666666,0.75,0.8333333333333334,0.75,1,0.75,0.8333333333333334
sub34,0.75,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.75,0.9166666666666666,0.8333333333333334,0.75,0.75,0.8333333333333334,1,0.6666666666666666,0.75,0.9166666666666666,0.5833333333333334,0.6666666666666666
sub35,1,1,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,1,1,0.75,1,0.9166666666666666,1,0.75,1
sub36,0.9166666666666666,0.9166666666666666,1,0.9166666666666666,0.6666666666666666,1,0.8333333333333334,0.6666666666666666,1,0.9166666666666666,1,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.4166666666666667,0.75
sub37,0.9166666666666666,0.9166666666666666,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,1,0.75,1,1,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334
sub38,0.9166666666666666,1,1,0.9166666666666666,1,1,1,0.75,1,1,1,1,0.75,0.9166666666666666,0.75,0.9166666666666666
sub39,0.9166666666666666,0.9166666666666666,1,1,0.75,0.9166666666666666,0.75,0.8333333333333334,1,1,1,1,0.9166666666666666,0.9166666666666666,0.5833333333333334,0.75
sub4,1,1,1,0.9166666666666666,0.9166666666666666,1,0.75,0.75,1,1,0.6666666666666666,1,1,0.75,0.4166666666666667,1
sub40,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,0.9166666666666666,1,1,1,1
sub41,1,1,1,0.9166666666666666,0.8333333333333334,1,0.8333333333333334,1,1,1,1,1,0.6666666666666666,0.75,0.8333333333333334,1
sub42,1,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,1,0.8333333333333334,0.8333333333333334,1,0.8333333333333334,0.9166666666666666,0.75,0.75,0.75
