subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub24,i,s,25%,25%,0.8333333333333334
sub24,i,s,25%,75%,0.9166666666666666
sub24,i,s,75%,25%,0.9166666666666666
sub24,i,s,75%,75%,0.75
sub25,c,r,25%,25%,0.9166666666666666
sub25,c,r,25%,75%,0.9166666666666666
sub25,c,r,75%,25%,1
sub25,c,r,75%,75%,1
sub25,c,s,25%,25%,0.9166666666666666
sub25,c,s,25%,75%,1
sub25,c,s,75%,25%,0.9166666666666666
sub25,c,s,75%,75%,0.8333333333333334
sub25,i,r,25%,25%,0.3333333333333333
sub25,i,r,25%,75%,0.9166666666666666
sub25,i,r,75%,25%,0.5
sub25,i,r,75%,75%,0.6666666666666666
sub25,i,s,25%,25%,0.5
sub25,i,s,25%,75%,0.8333333333333334
sub25,i,s,75%,25%,0.3333333333333333
sub25,i,s,75%,75%,0.5833333333333334
sub26,c,r,25%,25%,1
sub26,c,r,25%,75%,1
sub26,c,r,75%,25%,1
sub26,c,r,75%,75%,0.8333333333333334
sub26,c,s,25%,25%,1
sub26,c,s,25%,75%,0.9166666666666666
sub26,c,s,75%,25%,1
sub26,c,s,75%,75%,0.8333333333333334
sub26,i,r,25%,25%,0.6666666666666666
sub26,i,r,25%,75%,0.75
sub26,i,r,75%,25%,0.75
sub26,i,r,75%,75%,0.5
sub26,i,s,25%,25%,0.5833333333333334
sub26,i,s,25%,75%,0.9166666666666666
sub26,i,s,75%,25%,0.5833333333333334
sub26,i,s,75%,75%,0.6666666666666666
sub27,c,r,25%,25%,1
sub27,c,r,25%,75%,1
sub27,c,r,75%,25%,1
sub27,c,r,75%,75%,1
sub27,c,s,25%,25%,1
sub27,c,s,25%,75%,1
sub27,c,s,75%,25%,1
sub27,c,s,75%,75%,1
sub27,i,r,25%,25%,0.9166666666666666
sub27,i,r,25%,75%,0.9166666666666666
sub27,i,r,75%,25%,0.8333333333333334
sub27,i,r,75%,75%,0.8333333333333334
sub27,i,s,25%,25%,0.75
sub27,i,s,25%,75%,0.9166666666666666
sub27,i,s,75%,25%,0.75
sub27,i,s,75%,75%,0.9166666666666666
sub28,c,r,25%,25%,1
sub28,c,r,25%,75%,1
sub28,c,r,75%,25%,0.9166666666666666
sub28,c,r,75%,75%,1
sub28,c,s,25%,25%,1
sub28,c,s,25%,75%,0.9166666666666666
sub28,c,s,75%,25%,1
sub28,c,s,75%,75%,1
sub28,i,r,25%,25%,0.75
sub28,i,r,25%,75%,1
sub28,i,r,75%,25%,0.75
sub28,i,r,75%,75%,1
sub28,i,s,25%,25%,1
sub28,i,s,25%,75%,1
sub28,i,s,75%,25%,0.8333333333333334
sub28,i,s,75%,75%,0.8333333333333334
sub29,c,r,25%,25%,1
sub29,c,r,25%,75%,0.8333333333333334
sub29,c,r,75%,25%,1
sub29,c,r,75%,75%,0.9166666666666666
sub29,c,s,25%,25%,1
sub29,c,s,25%,75%,0.9166666666666666
sub29,c,s,75%,25%,0.9166666666666666
sub29,c,s,75%,75%,1
sub29,i,r,25%,25%,0.75
sub29,i,r,25%,75%,0.5
sub29,i,r,75%,25%,0.3333333333333333
sub29,i,r,75%,75%,0.8333333333333334
sub29,i,s,25%,25%,0.6666666666666666
sub29,i,s,25%,75%,0.4166666666666667
sub29,i,s,75%,25%,0.4166666666666667
sub29,i,s,75%,75%,0.75
sub3,c,r,25%,25%,1
sub3,c,r,25%,75%,1
sub3,c,r,75%,25%,0.9166666666666666
sub3,c,r,75%,75%,0.9166666666666666
sub3,c,s,25%,25%,0.9166666666666666
sub3,c,s,25%,75%,1
sub3,c,s,75%,25%,0.9166666666666666
sub3,c,s,75%,75%,1
sub3,i,r,25%,25%,0.5
sub3,i,r,25%,75%,0.8333333333333334
sub3,i,r,75%,25%,0.5833333333333334
sub3,i,r,75%,75%,0.75
sub3,i,s,25%,25%,0.75
sub3,i,s,25%,75%,0.75
sub3,i,s,75%,25%,0.5833333333333334
sub3,i,s,75%,75%,0.75
sub30,c,r,25%,25%,0.9166666666666666
sub30,c,r,25%,75%,1
sub30,c,r,75%,25%,1
sub30,c,r,75%,75%,0.75
sub30,c,s,25%,25%,1
sub30,c,s,25%,75%,1
sub30,c,s,75%,25%,0.9166666666666666
sub30,c,s,75%,75%,0.6666666666666666
sub30,i,r,25%,25%,0.8333333333333334
sub30,i,r,25%,75%,0.75
sub30,i,r,75%,25%,0.6666666666666666
sub30,i,r,75%,75%,0.5833333333333334
sub30,i,s,25%,25%,0.75
sub30,i,s,25%,75%,0.75
sub30,i,s,75%,25%,0.5
sub30,i,s,75%,75%,0.5
sub31,c,r,25%,25%,1
sub31,c,r,25%,75%,1
sub31,c,r,75%,25%,1
sub31,c,r,75%,75%,1
sub31,c,s,25%,25%,0.8333333333333334
sub31,c,s,25%,75%,0.9166666666666666
sub31,c,s,75%,25%,1
sub31,c,s,75%,75%,0.8333333333333334
sub31,i,r,25%,25%,0.75
sub31,i,r,25%,75%,0.9166666666666666
sub31,i,r,75%,25%,0.8333333333333334
sub31,i,r,75%,75%,0.8333333333333334
sub31,i,s,25%,25%,0.8333333333333334
sub31,i,s,25%,75%,0.8333333333333334
sub31,i,s,75%,25%,0.5
sub31,i,s,75%,75%,1
sub32,c,r,25%,25%,0.75
sub32,c,r,25%,75%,0.9166666666666666
sub32,c,r,75%,25%,1
sub32,c,r,75%,75%,1
sub32,c,s,25%,25%,0.9166666666666666
sub32,c,s,25%,75%,1
sub32,c,s,75%,25%,0.9166666666666666
sub32,c,s,75%,75%,0.8333333333333334
sub32,i,r,25%,25%,0.5
sub32,i,r,25%,75%,1
sub32,i,r,75%,25%,0.8333333333333334
sub32,i,r,75%,75%,0.8333333333333334
sub32,i,s,25%,25%,0.6666666666666666
sub32,i,s,25%,75%,0.75
sub32,i,s,75%,25%,0.8333333333333334
sub32,i,s,75%,75%,0.5
sub33,c,r,25%,25%,0.9166666666666666
sub33,c,r,25%,75%,0.8333333333333334
sub33,c,r,75%,25%,1
