subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub26,i,s,25%,75%,0.8125
sub26,i,s,75%,25%,0.5
sub26,i,s,75%,75%,0.5825242718446602
sub27,c,r,25%,25%,0.9902912621359223
sub27,c,r,25%,75%,1
sub27,c,r,75%,25%,1
sub27,c,r,75%,75%,0.9583333333333334
sub27,c,s,25%,25%,1
sub27,c,s,25%,75%,1
sub27,c,s,75%,25%,1
sub27,c,s,75%,75%,1
sub27,i,r,25%,25%,0.9375
sub27,i,r,25%,75%,0.9611650485436893
sub27,i,r,75%,25%,0.875
sub27,i,r,75%,75%,0.875
sub27,i,s,25%,25%,0.75
sub27,i,s,25%,75%,0.9375
sub27,i,s,75%,25%,0.8125
sub27,i,s,75%,75%,0.9514563106796117
sub28,c,r,25%,25%,1
sub28,c,r,25%,75%,1
sub28,c,r,75%,25%,0.9375
sub28,c,r,75%,75%,1
sub28,c,s,25%,25%,1
sub28,c,s,25%,75%,0.9583333333333334
sub28,c,s,75%,25%,0.9902912621359223
sub28,c,s,75%,75%,1
sub28,i,r,25%,25%,0.75
sub28,i,r,25%,75%,0.941747572815534
sub28,i,r,75%,25%,0.75
sub28,i,r,75%,75%,1
sub28,i,s,25%,25%,1
sub28,i,s,25%,75%,0.875
sub28,i,s,75%,25%,0.8125
sub28,i,s,75%,75%,0.912621359223301
sub29,c,r,25%,25%,0.9611650485436893
sub29,c,r,25%,75%,0.875
sub29,c,r,75%,25%,1
sub29,c,r,75%,75%,0.875
sub29,c,s,25%,25%,1
sub29,c,s,25%,75%,0.9166666666666666
sub29,c,s,75%,25%,0.941747572815534
sub29,c,s,75%,75%,0.9375
sub29,i,r,25%,25%,0.8125
sub29,i,r,25%,75%,0.8155339805825242
sub29,i,r,75%,25%,0.4166666666666667
sub29,i,r,75%,75%,0.875
sub29,i,s,25%,25%,0.7916666666666666
sub29,i,s,25%,75%,0.375
sub29,i,s,75%,25%,0.5
sub29,i,s,75%,75%,0.6699029126213593
sub3,c,r,25%,25%,0.970873786407767
sub3,c,r,25%,75%,0.9375
sub3,c,r,75%,25%,0.9375
sub3,c,r,75%,75%,0.875
sub3,c,s,25%,25%,0.9375
sub3,c,s,25%,75%,0.9583333333333334
sub3,c,s,75%,25%,0.9805825242718447
sub3,c,s,75%,75%,1
sub3,i,r,25%,25%,0.5
sub3,i,r,25%,75%,0.912621359223301
sub3,i,r,75%,25%,0.5416666666666666
sub3,i,r,75%,75%,0.75
sub3,i,s,25%,25%,0.6666666666666666
sub3,i,s,25%,75%,0.8125
sub3,i,s,75%,25%,0.625
sub3,i,s,75%,75%,0.8252427184466019
sub30,c,r,25%,25%,0.9611650485436893
sub30,c,r,25%,75%,1
sub30,c,r,75%,25%,1
sub30,c,r,75%,75%,0.7916666666666666
sub30,c,s,25%,25%,1
sub30,c,s,25%,75%,0.9583333333333334
sub30,c,s,75%,25%,0.8737864077669902
sub30,c,s,75%,75%,0.75
sub30,i,r,25%,25%,0.8125
sub30,i,r,25%,75%,0.7864077669902912
sub30,i,r,75%,25%,0.75
sub30,i,r,75%,75%,0.625
sub30,i,s,25%,25%,0.5416666666666666
sub30,i,s,25%,75%,0.6875
sub30,i,s,75%,25%,0.5625
sub30,i,s,75%,75%,0.6504854368932039
sub31,c,r,25%,25%,0.9902912621359223
sub31,c,r,25%,75%,1
sub31,c,r,75%,25%,1
sub31,c,r,75%,75%,1
sub31,c,s,25%,25%,0.875
sub31,c,s,25%,75%,0.8333333333333334
sub31,c,s,75%,25%,0.9902912621359223
sub31,c,s,75%,75%,0.875
sub31,i,r,25%,25%,0.8125
sub31,i,r,25%,75%,0.9320388349514563
