subject,r_c_25%_25%,r_c_25%_75%,r_c_75%_25%,r_c_75%_75%,r_i_25%_25%,r_i_25%_75%,r_i_75%_25%,r_i_75%_75%,s_c_25%_25%,s_c_25%_75%,s_c_75%_25%,s_c_75%_75%,s_i_25%_25%,s_i_25%_75%,s_i_75%_25%,s_i_75%_75%
sub25,955.5454545454545,979.8181818181819,964.1666666666666,1001.8333333333334,1194,1014,1141.5,1191.625,1145.7272727272727,1054.25,1108.2727272727273,1120.4,1278.5,1114.4,1188.5,1046
sub26,1116.8333333333333,1069,1157.6666666666667,1186.6,1144.5,1141.6666666666667,1186.111111111111,1143,1126.5,1085.2727272727273,1187.5,1191,1179.857142857143,1234.6363636363637,1165.7142857142858,1148
sub27,801.8333333333334,878.25,799.1666666666666,854.75,886.0909090909091,884.5454545454545,962,991.3,888.9166666666666,843.5,856.5,842.6666666666666,1044.6666666666667,1056.6363636363637,902,895.5454545454545
sub28,828.3333333333334,952.9166666666666,998.2727272727273,847.5833333333334,1101.4444444444443,989.3333333333334,1062.7777777777778,930.3636363636364,903.6666666666666,970.5454545454545,954.3333333333334,914.5833333333334,1075.75,1061.8333333333333,1232.2,993.4
sub29,1013.8333333333334,999.8,988.5,976.6363636363636,1146.2222222222222,1125.1666666666667,1105.25,1161.5,1018.0833333333334,1129.909090909091,1046.090909090909,1137.75,1206,1190,1004.4,1161.7777777777778
sub3,965.4166666666666,897.3333333333334,936.4545454545455,871.1818181818181,1066.6,968.7,857.4285714285714,925.5555555555555,1068.1818181818182,935.4166666666666,906.0909090909091,853,1035.6666666666667,960.4444444444445,934.5714285714286,982.6666666666666
sub30,894.9090909090909,886.0833333333334,914.0833333333334,890,1052.6,965.6666666666666,944.25,918.5714285714286,823.5833333333334,958.4166666666666,827,958.125,898.8888888888889,966,953.3333333333334,954.3333333333334
sub31,917.6666666666666,941.5,920.25,990.1666666666666,1076.7777777777778,998.0909090909091,989.5,1137.9,999.8,972.1818181818181,992.4166666666666,1100.7,1160.5,1126.8,1122,1107.3333333333333
sub32,1039.111111111111,1011.2727272727273,929.75,1094.9166666666667,1005.3333333333334,1013.5,1150.9,1069.3,1194.6363636363637,1137,1087.3636363636363,973.8,1243.625,1070.6666666666667,1050.9,1200.5
sub33,794.7272727272727,917.7,859.6666666666666,1025.3636363636363,956.9090909090909,957.3636363636364,886.875,1063.8,797.5555555555555,1067.909090909091,1028.111111111111,1139.7,836.8888888888889,1002.1666666666666,897.1111111111111,1064
