subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub21,n,s,25%,75%,1
sub21,n,s,75%,25%,1
sub21,n,s,75%,75%,1
sub22,d,r,25%,25%,0.9166666666666666
sub22,d,r,25%,75%,0.9166666666666666
sub22,d,r,75%,25%,1
sub22,d,r,75%,75%,1
sub22,d,s,25%,25%,1
sub22,d,s,25%,75%,1
sub22,d,s,75%,25%,1
sub22,d,s,75%,75%,0.9166666666666666
sub22,n,r,25%,25%,1
sub22,n,r,25%,75%,1
sub22,n,r,75%,25%,1
sub22,n,r,75%,75%,1
sub22,n,s,25%,25%,1
sub22,n,s,25%,75%,1
sub22,n,s,75%,25%,1
sub22,n,s,75%,75%,0.9166666666666666
sub23,d,r,25%,25%,0.8333333333333334
sub23,d,r,25%,75%,0.6666666666666666
sub23,d,r,75%,25%,1
sub23,d,r,75%,75%,0.9166666666666666
sub23,d,s,25%,25%,0.9166666666666666
sub23,d,s,25%,75%,0.8333333333333334
sub23,d,s,75%,25%,0.8333333333333334
sub23,d,s,75%,75%,0.6666666666666666
sub23,n,r,25%,25%,1
sub23,n,r,25%,75%,0.6666666666666666
sub23,n,r,75%,25%,1
sub23,n,r,75%,75%,0.8333333333333334
sub23,n,s,25%,25%,0.9166666666666666
sub23,n,s,25%,75%,0.6666666666666666
sub23,n,s,75%,25%,0.8333333333333334
sub23,n,s,75%,75%,0.75
sub24,d,r,25%,25%,1
sub24,d,r,25%,75%,0.9166666666666666
sub24,d,r,75%,25%,0.9166666666666666
sub24,d,r,75%,75%,0.9166666666666666
sub24,d,s,25%,25%,0.9166666666666666
sub24,d,s,25%,75%,1
sub24,d,s,75%,25%,1
sub24,d,s,75%,75%,1
sub24,n,r,25%,25%,0.9166666666666666
sub24,n,r,25%,75%,0.9166666666666666
sub24,n,r,75%,25%,0.9166666666666666
sub24,n,r,75%,75%,0.9166666666666666
sub24,n,s,25%,25%,0.9166666666666666
sub24,n,s,25%,75%,1
sub24,n,s,75%,25%,0.8333333333333334
sub24,n,s,75%,75%,1
sub25,d,r,25%,25%,1
sub25,d,r,25%,75%,1
sub25,d,r,75%,25%,1
sub25,d,r,75%,75%,0.8333333333333334
sub25,d,s,25%,25%,1
sub25,d,s,25%,75%,0.9166666666666666
sub25,d,s,75%,25%,1
sub25,d,s,75%,75%,0.9166666666666666
sub25,n,r,25%,25%,1
sub25,n,r,25%,75%,0.9166666666666666
sub25,n,r,75%,25%,1
sub25,n,r,75%,75%,1
sub25,n,s,25%,25%,1
sub25,n,s,25%,75%,0.9166666666666666
sub25,n,s,75%,25%,0.9166666666666666
sub25,n,s,75%,75%,1
sub26,d,r,25%,25%,1
sub26,d,r,25%,75%,1
sub26,d,r,75%,25%,0.9166666666666666
sub26,d,r,75%,75%,0.9166666666666666
sub26,d,s,25%,25%,1
sub26,d,s,25%,75%,1
sub26,d,s,75%,25%,0.8333333333333334
sub26,d,s,75%,75%,1
sub26,n,r,25%,25%,0.9166666666666666
sub26,n,r,25%,75%,0.9166666666666666
sub26,n,r,75%,25%,1
sub26,n,r,75%,75%,1
sub26,n,s,25%,25%,1
sub26,n,s,25%,75%,1
sub26,n,s,75%,25%,1
sub26,n,s,75%,75%,0.9166666666666666
sub27,d,r,25%,25%,0.8333333333333334
sub27,d,r,25%,75%,0.9166666666666666
sub27,d,r,75%,25%,1
sub27,d,r,75%,75%,0.9166666666666666
sub27,d,s,25%,25%,0.9166666666666666
sub27,d,s,25%,75%,0.8333333333333334
sub27,d,s,75%,25%,0.6666666666666666
sub27,d,s,75%,75%,0.9166666666666666
sub27,n,r,25%,25%,1
sub27,n,r,25%,75%,0.9166666666666666
sub27,n,r,75%,25%,1
sub27,n,r,75%,75%,1
sub27,n,s,25%,25%,0.8333333333333334
sub27,n,s,25%,75%,0.9166666666666666
sub27,n,s,75%,25%,0.9166666666666666
sub27,n,s,75%,75%,0.9166666666666666
sub28,d,r,25%,25%,0.9166666666666666
sub28,d,r,25%,75%,0.75
sub28,d,r,75%,25%,1
sub28,d,r,75%,75%,0.8333333333333334
sub28,d,s,25%,25%,0.6666666666666666
sub28,d,s,25%,75%,0.75
sub28,d,s,75%,25%,0.8333333333333334
sub28,d,s,75%,75%,0.8333333333333334
sub28,n,r,25%,25%,1
sub28,n,r,25%,75%,0.8333333333333334
sub28,n,r,75%,25%,0.9166666666666666
sub28,n,r,75%,75%,0.75
sub28,n,s,25%,25%,1
sub28,n,s,25%,75%,0.8333333333333334
sub28,n,s,75%,25%,0.9166666666666666
sub28,n,s,75%,75%,0.5833333333333334
sub29,d,r,25%,25%,0.9166666666666666
sub29,d,r,25%,75%,1
sub29,d,r,75%,25%,1
sub29,d,r,75%,75%,1
sub29,d,s,25%,25%,0.9166666666666666
sub29,d,s,25%,75%,1
sub29,d,s,75%,25%,1
sub29,d,s,75%,75%,1
sub29,n,r,25%,25%,0.9166666666666666
sub29,n,r,25%,75%,1
sub29,n,r,75%,25%,1
sub29,n,r,75%,75%,1
sub29,n,s,25%,25%,0.9166666666666666
sub29,n,s,25%,75%,1
sub29,n,s,75%,25%,1
sub29,n,s,75%,75%,1
sub3,d,r,25%,25%,0.8333333333333334
sub3,d,r,25%,75%,0.9166666666666666
sub3,d,r,75%,25%,0.9166666666666666
sub3,d,r,75%,75%,0.9166666666666666
sub3,d,s,25%,25%,0.8333333333333334
sub3,d,s,25%,75%,0.6666666666666666
sub3,d,s,75%,25%,0.8333333333333334
sub3,d,s,75%,75%,0.9166666666666666
sub3,n,r,25%,25%,0.8333333333333334
sub3,n,r,25%,75%,0.8333333333333334
sub3,n,r,75%,25%,0.75
sub3,n,r,75%,75%,0.9166666666666666
sub3,n,s,25%,25%,0.6666666666666666
sub3,n,s,25%,75%,0.75
sub3,n,s,75%,25%,0.75
sub3,n,s,75%,75%,0.8333333333333334
sub30,d,r,25%,25%,0.9166666666666666
sub30,d,r,25%,75%,1
sub30,d,r,75%,25%,0.9166666666666666
sub30,d,r,75%,75%,1
sub30,d,s,25%,25%,0.9166666666666666
sub30,d,s,25%,75%,1
sub30,d,s,75%,25%,0.9166666666666666
sub30,d,s,75%,75%,0.9166666666666666
sub30,n,r,25%,25%,1
sub30,n,r,25%,75%,1
