subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub27,n,s,75%,25%,0.912621359223301
sub27,n,s,75%,75%,0.9375
sub28,d,r,25%,25%,0.875
sub28,d,r,25%,75%,0.8252427184466019
sub28,d,r,75%,25%,1
sub28,d,r,75%,75%,0.75
sub28,d,s,25%,25%,0.8333333333333334
sub28,d,s,25%,75%,0.75
sub28,d,s,75%,25%,0.875
sub28,d,s,75%,75%,0.6504854368932039
sub28,n,r,25%,25%,0.8737864077669902
sub28,n,r,25%,75%,0.8125
sub28,n,r,75%,25%,0.9375
sub28,n,r,75%,75%,0.7083333333333334
sub28,n,s,25%,25%,1
sub28,n,s,25%,75%,0.8333333333333334
sub28,n,s,75%,25%,0.883495145631068
sub28,n,s,75%,75%,0.6875
sub29,d,r,25%,25%,0.9375
sub29,d,r,25%,75%,0.9902912621359223
sub29,d,r,75%,25%,1
sub29,d,r,75%,75%,0.9375
sub29,d,s,25%,25%,0.9583333333333334
sub29,d,s,25%,75%,1
sub29,d,s,75%,25%,1
sub29,d,s,75%,75%,0.941747572815534
sub29,n,r,25%,25%,0.9611650485436893
sub29,n,r,25%,75%,1
sub29,n,r,75%,25%,1
sub29,n,r,75%,75%,0.9583333333333334
sub29,n,s,25%,25%,0.9375
sub29,n,s,25%,75%,0.9166666666666666
sub29,n,s,75%,25%,0.9902912621359223
sub29,n,s,75%,75%,1
sub3,d,r,25%,25%,0.875
sub3,d,r,25%,75%,0.8543689320388349
sub3,d,r,75%,25%,0.875
sub3,d,r,75%,75%,0.9375
sub3,d,s,25%,25%,0.875
sub3,d,s,25%,75%,0.75
sub3,d,s,75%,25%,0.8125
sub3,d,s,75%,75%,0.8640776699029126
sub3,n,r,25%,25%,0.8640776699029126
sub3,n,r,25%,75%,0.875
sub3,n,r,75%,25%,0.6875
sub3,n,r,75%,75%,0.9166666666666666
sub3,n,s,25%,25%,0.75
sub3,n,s,25%,75%,0.8333333333333334
sub3,n,s,75%,25%,0.8640776699029126
sub3,n,s,75%,75%,0.8125
sub30,d,r,25%,25%,0.9375
sub30,d,r,25%,75%,1
sub30,d,r,75%,25%,0.9166666666666666
sub30,d,r,75%,75%,1
sub30,d,s,25%,25%,0.9583333333333334
sub30,d,s,25%,75%,0.9375
sub30,d,s,75%,25%,0.875
sub30,d,s,75%,75%,0.9320388349514563
sub30,n,r,25%,25%,0.9611650485436893
sub30,n,r,25%,75%,1
sub30,n,r,75%,25%,1
sub30,n,r,75%,75%,0.9166666666666666
sub30,n,s,25%,25%,1
sub30,n,s,25%,75%,0.8333333333333334
sub30,n,s,75%,25%,0.970873786407767
sub30,n,s,75%,75%,1
sub31,d,r,25%,25%,1
sub31,d,r,25%,75%,0.970873786407767
sub31,d,r,75%,25%,0.9166666666666666
sub31,d,r,75%,75%,0.875
