subject,r_d_25%_25%,r_d_25%_75%,r_d_75%_25%,r_d_75%_75%,r_n_25%_25%,r_n_25%_75%,r_n_75%_25%,r_n_75%_75%,s_d_25%_25%,s_d_25%_75%,s_d_75%_25%,s_d_75%_75%,s_n_25%_25%,s_n_25%_75%,s_n_75%_25%,s_n_75%_75%
sub20,0.875,0.8155339805825242,0.9583333333333334,0.875,0.912621359223301,0.8125,1,0.9166666666666666,0.9583333333333334,0.6875,0.9375,0.8640776699029126,0.8125,0.75,0.8349514563106796,0.875
sub21,0.9375,0.9902912621359223,1,1,1,1,1,0.9583333333333334,1,1,1,0.9805825242718447,1,0.9166666666666666,0.970873786407767,1
sub22,0.9375,0.9805825242718447,1,1,0.9902912621359223,1,0.9375,1,1,1,1,0.9611650485436893,1,0.9583333333333334,0.970873786407767,0.9375
sub23,0.875,0.6990291262135923,0.9583333333333334,0.9375,0.9805825242718447,0.5625,1,0.75,0.9166666666666666,0.6875,0.8125,0.7475728155339806,0.9375,0.7083333333333334,0.9320388349514563,0.75
sub24,0.9375,0.9514563106796117,0.9583333333333334,0.9375,0.9902912621359223,0.9375,0.9375,0.9166666666666666,0.9166666666666666,0.9375,1,0.912621359223301,0.9375,1,0.9320388349514563,1
sub25,1,0.9805825242718447,1,0.875,0.970873786407767,0.9375,1,0.9583333333333334,1,0.9375,1,0.9611650485436893,1,0.9166666666666666,0.970873786407767,1
sub26,1,0.9223300970873787,0.9583333333333334,0.9375,0.9611650485436893,0.9375,0.9375,1,0.9583333333333334,1,0.875,0.9805825242718447,0.9375,0.9166666666666666,0.9514563106796117,0.9375
sub27,0.875,0.9611650485436893,1,0.9375,0.9611650485436893,0.9375,1,0.9583333333333334,0.9166666666666666,0.75,0.75,0.912621359223301,0.875,0.9583333333333334,0.912621359223301,0.9375
sub28,0.875,0.8252427184466019,1,0.75,0.8737864077669902,0.8125,0.9375,0.7083333333333334,0.8333333333333334,0.75,0.875,0.6504854368932039,1,0.8333333333333334,0.883495145631068,0.6875
sub29,0.9375,0.9902912621359223,1,0.9375,0.9611650485436893,1,1,0.9583333333333334,0.9583333333333334,1,1,0.941747572815534,0.9375,0.9166666666666666,0.9902912621359223,1
sub3,0.875,0.8543689320388349,0.875,0.9375,0.8640776699029126,0.875,0.6875,0.9166666666666666,0.875,0.75,0.8125,0.8640776699029126,0.75,0.8333333333333334,0.8640776699029126,0.8125
sub30,0.9375,1,0.9166666666666666,1,0.9611650485436893,1,1,0.9166666666666666,0.9583333333333334,0.9375,0.875,0.9320388349514563,1,0.8333333333333334,0.970873786407767,1
sub31,1,0.970873786407767,0.9166666666666666,0.875,0.941747572815534,0.9375,1,0.9166666666666666,0.7916666666666666,0.8125,0.9375,0.9029126213592233,0.75,0.9583333333333334,0.970873786407767,1
sub32,1,0.9320388349514563,0.9166666666666666,1,0.9805825242718447,1,1,0.9583333333333334,0.9583333333333334,0.75,0.8125,0.8349514563106796,1,0.7083333333333334,0.9029126213592233,0.875
sub33,0.9375,0.9320388349514563,0.9166666666666666,0.9375,0.941747572815534,0.9375,1,0.8333333333333334,0.9166666666666666,0.9375,0.875,0.8932038834951457,0.875,0.9583333333333334,0.912621359223301,0.875
sub34,0.875,0.883495145631068,0.75,0.625,0.9514563106796117,0.9375,0.8125,0.8333333333333334,0.7083333333333334,0.875,0.5625,0.5631067961165048,0.8125,0.6666666666666666,0.8058252427184466,0.6875
sub35,0.875,0.9029126213592233,0.8333333333333334,1,0.912621359223301,1,0.9375,0.9166666666666666,0.75,0.9375,0.875,0.941747572815534,0.875,0.875,0.912621359223301,0.8125
sub36,0.8125,0.8640776699029126,0.9166666666666666,0.8125,0.8446601941747572,1,0.8125,0.9166666666666666,0.75,0.75,0.75,0.8252427184466019,0.625,0.8333333333333334,0.8349514563106796,0.75
sub37,0.9375,0.9902912621359223,1,0.9375,0.970873786407767,1,1,1,1,1,0.9375,0.970873786407767,0.9375,1,0.9611650485436893,0.9375
sub38,1,0.9223300970873787,1,1,0.9514563106796117,0.9375,0.875,1,0.8333333333333334,1,0.9375,0.9611650485436893,1,0.9583333333333334,0.9320388349514563,1
sub39,1,0.9514563106796117,0.875,1,0.9514563106796117,1,0.9375,0.9583333333333334,1,1,0.9375,0.9223300970873787,0.875,0.9583333333333334,0.9320388349514563,0.9375
sub4,1,1,1,1,1,1,1,0.9583333333333334,1,1,1,1,1,1,1,1
sub40,0.9375,0.9611650485436893,0.9583333333333334,1,0.9902912621359223,1,1,1,0.9166666666666666,0.9375,0.8125,0.9320388349514563,1,0.9583333333333334,0.9805825242718447,1
sub41,1,0.970873786407767,0.9166666666666666,1,0.970873786407767,1,1,0.9166666666666666,1,1,1,0.941747572815534,0.875,0.9583333333333334,0.9611650485436893,1
