subject,r_d_25%_25%,r_d_25%_75%,r_d_75%_25%,r_d_75%_75%,r_n_25%_25%,r_n_25%_75%,r_n_75%_25%,r_n_75%_75%,s_d_25%_25%,s_d_25%_75%,s_d_75%_25%,s_d_75%_75%,s_n_25%_25%,s_n_25%_75%,s_n_75%_25%,s_n_75%_75%
sub24,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,1,1,0.9166666666666666,1,0.8333333333333334,1
sub25,1,1,1,0.8333333333333334,1,0.9166666666666666,1,1,1,0.9166666666666666,1,0.9166666666666666,1,0.9166666666666666,0.9166666666666666,1
sub26,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,1,1,1,0.8333333333333334,1,1,1,1,0.9166666666666666
sub27,0.8333333333333334,0.9166666666666666,1,0.9166666666666666,1,0.9166666666666666,1,1,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666
sub28,0.9166666666666666,0.75,1,0.8333333333333334,1,0.8333333333333334,0.9166666666666666,0.75,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,1,0.8333333333333334,0.9166666666666666,0.5833333333333334
sub29,0.9166666666666666,1,1,1,0.9166666666666666,1,1,1,0.9166666666666666,1,1,1,0.9166666666666666,1,1,1
sub3,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.75,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.75,0.75,0.8333333333333334
sub30,0.9166666666666666,1,0.9166666666666666,1,1,1,1,1,0.9166666666666666,1,0.9166666666666666,0.9166666666666666,1,0.75,1,1
sub31,1,1,1,0.8333333333333334,0.8333333333333334,0.9166666666666666,1,0.9166666666666666,0.5833333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,0.9166666666666666,1
sub32,1,0.9166666666666666,0.9166666666666666,1,1,1,1,0.9166666666666666,1,0.8333333333333334,0.9166666666666666,0.8333333333333334,1,0.5833333333333334,0.9166666666666666,0.8333333333333334
sub33,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,0.9166666666666666,0.9166666666666666
sub34,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.9166666666666666,1,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.5833333333333334,0.4166666666666667,0.9166666666666666,0.75,0.75,0.6666666666666666
sub35,0.9166666666666666,0.8333333333333334,0.8333333333333334,1,0.75,1,1,1,0.8333333333333334,1,0.8333333333333334,1,1,1,0.8333333333333334,0.8333333333333334
sub36,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,1,0.8333333333333334,0.9166666666666666,0.75,0.75,0.9166666666666666,0.75,0.5,0.9166666666666666,0.6666666666666666,0.75
sub37,0.9166666666666666,1,1,0.9166666666666666,1,1,1,1,1,1,1,0.9166666666666666,0.9166666666666666,1,0.9166666666666666,1
